Search by,Search for,Email,Photo,Extra Information to Display (optional but good)
Pontypridd,Rhys ab Owen,Rhys.abOwen@senedd.wales,https://business.senedd.wales/UserData/5/2/6/Info00008625/bigpic.jpg,Plaid Cymru NA
Pontypridd,Andrew RT Davies,AndrewRT.Davies@senedd.wales,https://business.senedd.wales/UserData/3/4/1/Info00000143/bigpic.jpg,Welsh Conservative NA
Pontypridd,Heledd Fychan,Heledd.Fychan@senedd.wales,https://business.senedd.wales/UserData/6/2/4/Info00000426/bigpic.jpg,Plaid Cymru NA
Pontypridd,Joel James,Joel.James@senedd.wales,https://business.senedd.wales/UserData/7/8/6/Info00008687/bigpic.jpg,Welsh Conservative NA
Preseli Pembrokeshire / Preseli Sir Benfro,Paul Davies,Paul.Davies@senedd.wales,https://business.senedd.wales/UserData/5/4/1/Info00000145/bigpic.jpg,Welsh Conservative MS for Preseli Pembrokeshire
Preseli Pembrokeshire / Preseli Sir Benfro,Cefin Campbell,Cefin.Campbell@Senedd.Wales,https://business.senedd.wales/UserData/3/4/6/Info00008643/bigpic.jpg,Plaid Cymru NA
Preseli Pembrokeshire / Preseli Sir Benfro,Jane Dodds,Jane.Dodds@senedd.wales,https://business.senedd.wales/UserData/3/8/9/Info00004983/bigpic.jpg,Welsh Liberal Democrats NA
Preseli Pembrokeshire / Preseli Sir Benfro,Eluned Morgan,Eluned.Morgan@senedd.wales,https://business.senedd.wales/UserData/0/7/9/Info00004970/bigpic.jpg,Welsh Labour NA
Preseli Pembrokeshire / Preseli Sir Benfro,Joyce Watson,Joyce.Watson@senedd.wales,https://business.senedd.wales/UserData/2/8/1/Info00000182/bigpic.jpg,Welsh Labour NA
Rhondda,Buffy Williams,Buffy.Williams@senedd.wales,https://business.senedd.wales/UserData/5/9/6/Info00008695/bigpic.jpg,Welsh Labour MS for Rhondda
Rhondda,Rhys ab Owen,Rhys.abOwen@senedd.wales,https://business.senedd.wales/UserData/5/2/6/Info00008625/bigpic.jpg,Plaid Cymru NA
Rhondda,Andrew RT Davies,AndrewRT.Davies@senedd.wales,https://business.senedd.wales/UserData/3/4/1/Info00000143/bigpic.jpg,Welsh Conservative NA
Rhondda,Heledd Fychan,Heledd.Fychan@senedd.wales,https://business.senedd.wales/UserData/6/2/4/Info00000426/bigpic.jpg,Plaid Cymru NA
Rhondda,Joel James,Joel.James@senedd.wales,https://business.senedd.wales/UserData/7/8/6/Info00008687/bigpic.jpg,Welsh Conservative NA
Swansea East / Dwyrain Abertawe,Mike Hedges,Mike.Hedges@senedd.wales,https://business.senedd.wales/UserData/2/3/3/Info00000332/bigpic.jpg,Welsh Labour MS for Swansea East
Swansea East / Dwyrain Abertawe,Luke Fletcher,Luke.Fletcher@senedd.wales,https://business.senedd.wales/UserData/4/3/6/Info00008634/bigpic.jpg,Plaid Cymru NA
Swansea East / Dwyrain Abertawe,Tom Giffard,Tom.Giffard@Senedd.Wales,https://business.senedd.wales/UserData/3/3/7/Info00008733/bigpic.jpg,Welsh Conservative NA
Swansea East / Dwyrain Abertawe,Altaf Hussain,Altaf.Hussain@senedd.wales,https://business.senedd.wales/UserData/3/4/5/Info00000543/bigpic.jpg,Welsh Conservative NA
Swansea East / Dwyrain Abertawe,Sioned Williams,Sioned.A.Williams@Senedd.Wales,https://business.senedd.wales/UserData/0/7/6/Info00008670/bigpic.jpg,Plaid Cymru NA
Swansea West / Gorllewin Abertawe,Julie James,Julie.James@senedd.wales,https://business.senedd.wales/UserData/4/8/5/Info00000584/bigpic.jpg,Welsh Labour MS for Swansea West
Swansea West / Gorllewin Abertawe,Luke Fletcher,Luke.Fletcher@senedd.wales,https://business.senedd.wales/UserData/4/3/6/Info00008634/bigpic.jpg,Plaid Cymru NA
Swansea West / Gorllewin Abertawe,Tom Giffard,Tom.Giffard@Senedd.Wales,https://business.senedd.wales/UserData/3/3/7/Info00008733/bigpic.jpg,Welsh Conservative NA
Swansea West / Gorllewin Abertawe,Altaf Hussain,Altaf.Hussain@senedd.wales,https://business.senedd.wales/UserData/3/4/5/Info00000543/bigpic.jpg,Welsh Conservative NA
Swansea West / Gorllewin Abertawe,Sioned Williams,Sioned.A.Williams@Senedd.Wales,https://business.senedd.wales/UserData/0/7/6/Info00008670/bigpic.jpg,Plaid Cymru NA
Torfaen,Lynne Neagle,Lynne.Neagle@senedd.wales,https://business.senedd.wales/UserData/4/7/1/Info00000174/bigpic.jpg,Welsh Labour MS for Torfaen
Torfaen,Natasha Asghar,Natasha.Asghar@senedd.wales,https://business.senedd.wales/UserData/6/3/3/Info00000336/bigpic.jpg,Welsh Conservative NA
Torfaen,Delyth Jewell,Delyth.Jewell@senedd.wales,https://business.senedd.wales/UserData/7/0/2/Info00005207/bigpic.jpg,Plaid Cymru NA
Torfaen,Laura Anne Jones,Laura.Jones@senedd.wales,https://business.senedd.wales/UserData/2/6/5/Info00004562/bigpic.jpg,Welsh Conservative NA
Torfaen,Peredur Owen Griffiths,Peredur.OwenGriffiths@senedd.wales,https://business.senedd.wales/UserData/9/7/5/Info00008579/bigpic.jpg,Plaid Cymru NA
Vale of Clwyd / Dyffryn Clwyd,Gareth Davies,Gareth.L.Davies@senedd.wales,https://business.senedd.wales/UserData/1/7/5/Info00008571/bigpic.jpg,Welsh Conservative MS for Vale of Clwyd
Vale of Clwyd / Dyffryn Clwyd,Llyr Gruffydd,Llyr.Gruffydd@senedd.wales,https://business.senedd.wales/UserData/5/2/4/Info00000425/bigpic.jpg,Plaid Cymru NA
Vale of Clwyd / Dyffryn Clwyd,Mark Isherwood,Mark.Isherwood@senedd.wales,https://business.senedd.wales/UserData/7/5/1/Info00000157/bigpic.jpg,Welsh Conservative NA
Vale of Clwyd / Dyffryn Clwyd,Sam Rowlands,Sam.Rowlands@senedd.wales,https://business.senedd.wales/UserData/4/3/7/Info00008734/bigpic.jpg,Welsh Conservative NA
Vale of Clwyd / Dyffryn Clwyd,Carolyn Thomas,Carolyn.Thomas@Senedd.Wales,https://business.senedd.wales/UserData/3/4/1/Info00005143/bigpic.jpg,Welsh Labour NA
Vale of Glamorgan / Bro Morgannwg,Jane Hutt,Jane.Hutt@senedd.wales,https://business.senedd.wales/UserData/6/5/1/Info00000156/bigpic.jpg,Welsh Labour MS for Vale of Glamorgan
Vale of Glamorgan / Bro Morgannwg,Rhys ab Owen,Rhys.abOwen@senedd.wales,https://business.senedd.wales/UserData/5/2/6/Info00008625/bigpic.jpg,Plaid Cymru NA
Vale of Glamorgan / Bro Morgannwg,Andrew RT Davies,AndrewRT.Davies@senedd.wales,https://business.senedd.wales/UserData/3/4/1/Info00000143/bigpic.jpg,Welsh Conservative NA
Vale of Glamorgan / Bro Morgannwg,Heledd Fychan,Heledd.Fychan@senedd.wales,https://business.senedd.wales/UserData/6/2/4/Info00000426/bigpic.jpg,Plaid Cymru NA
Vale of Glamorgan / Bro Morgannwg,Joel James,Joel.James@senedd.wales,https://business.senedd.wales/UserData/7/8/6/Info00008687/bigpic.jpg,Welsh Conservative NA
Wrexham / Wrecsam,Lesley Griffiths,Lesley.Griffiths@senedd.wales,https://business.senedd.wales/UserData/4/5/1/Info00000154/bigpic.jpg,Welsh Labour MS for Wrexham
Wrexham / Wrecsam,Llyr Gruffydd,Llyr.Gruffydd@senedd.wales,https://business.senedd.wales/UserData/5/2/4/Info00000425/bigpic.jpg,Plaid Cymru NA
Wrexham / Wrecsam,Mark Isherwood,Mark.Isherwood@senedd.wales,https://business.senedd.wales/UserData/7/5/1/Info00000157/bigpic.jpg,Welsh Conservative NA
Wrexham / Wrecsam,Sam Rowlands,Sam.Rowlands@senedd.wales,https://business.senedd.wales/UserData/4/3/7/Info00008734/bigpic.jpg,Welsh Conservative NA
Wrexham / Wrecsam,Carolyn Thomas,Carolyn.Thomas@Senedd.Wales,https://business.senedd.wales/UserData/3/4/1/Info00005143/bigpic.jpg,Welsh Labour NA
Ynys Môn / Isle of Anglesey,Rhun ap Iorwerth,rhun.apiorwerth@senedd.wales,https://business.senedd.wales/UserData/7/1/7/Info00002717/bigpic.jpg,Plaid Cymru MS for Ynys Môn
Ynys Môn / Isle of Anglesey,Llyr Gruffydd,Llyr.Gruffydd@senedd.wales,https://business.senedd.wales/UserData/5/2/4/Info00000425/bigpic.jpg,Plaid Cymru NA
Ynys Môn / Isle of Anglesey,Mark Isherwood,Mark.Isherwood@senedd.wales,https://business.senedd.wales/UserData/7/5/1/Info00000157/bigpic.jpg,Welsh Conservative NA
Ynys Môn / Isle of Anglesey,Sam Rowlands,Sam.Rowlands@senedd.wales,https://business.senedd.wales/UserData/4/3/7/Info00008734/bigpic.jpg,Welsh Conservative NA
Ynys Môn / Isle of Anglesey,Carolyn Thomas,Carolyn.Thomas@Senedd.Wales,https://business.senedd.wales/UserData/3/4/1/Info00005143/bigpic.jpg,Welsh Labour NA
